[Sat Dec 03 19:51:12.729928 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP Parse error:  syntax error, unexpected '}' in /home/evgen/www/opencart/catalog/view/theme/test/template/common/header.tpl on line 118, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730007 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP Stack trace:, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730025 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   1. {main}() /home/evgen/www/opencart/index.php:0, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730036 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   2. start() /home/evgen/www/opencart/index.php:19, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730046 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   3. require_once() /home/evgen/www/opencart/system/startup.php:124, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730057 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   4. Front->dispatch() /home/evgen/www/opencart/system/framework.php:103, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730069 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   5. Front->execute() /home/evgen/www/opencart/system/engine/front.php:29, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730080 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   6. Action->execute() /home/evgen/www/opencart/system/engine/front.php:34, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730091 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   7. call_user_func_array() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730103 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   8. ControllerStartupRouter->index() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730114 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP   9. Action->execute() /home/evgen/www/opencart/catalog/controller/startup/router.php:25, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730124 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  10. call_user_func_array() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730135 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  11. ControllerCommonHome->index() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730146 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  12. Loader->controller() /home/evgen/www/opencart/catalog/controller/common/home.php:17, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730156 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  13. Action->execute() /home/evgen/www/opencart/system/storage/modification/system/engine/loader.php:24, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730166 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  14. call_user_func_array() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730177 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  15. ControllerCommonHeader->index() /home/evgen/www/opencart/system/storage/modification/system/engine/action.php:51, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730197 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  16. Loader->view() /home/evgen/www/opencart/catalog/controller/common/header.php:150, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730208 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  17. Template->render() /home/evgen/www/opencart/system/storage/modification/system/engine/loader.php:87, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 19:51:12.730218 2016] [:error] [pid 13892] [client 127.0.0.1:53557] PHP  18. Template\\PHP->render() /home/evgen/www/opencart/system/library/template.php:20, referer: http://opencart.loc/index.php?route=product/category&path=20
[Sat Dec 03 20:06:48.292662 2016] [authz_core:error] [pid 23201] [client 127.0.0.1:53971] AH01630: client denied by server configuration: /home/evgen/www/opencart/catalog/view/theme/test/template/common/header.tpl, referer: http://opencart.loc/index.php?route=common/home
